,total_sqft,bath,balcony,price,location_encode,size_encode
138,1280.0,3.0,1.0,50.4,26,4309
139,1260.0,2.0,2.0,85.05,9,4309
140,5000.0,8.0,3.0,250.0,152,84
141,3050.0,5.0,1.0,213.0,213,59
142,1563.05,3.0,1.0,105.0,80,4309
143,1000.0,2.0,1.0,60.0,13,5199
144,1167.0,2.0,1.0,43.76,27,5199
145,4000.0,7.0,2.0,225.0,13,17
146,1828.0,3.0,3.0,110.0,66,4309
147,890.0,2.0,1.0,35.0,40,5199
148,1612.0,3.0,3.0,46.74,8,4309
149,1034.0,5.0,3.0,185.0,3,191
150,1710.0,4.0,2.0,91.31,50,4309
151,957.0,2.0,1.0,58.0,18,5199
152,1250.0,2.0,3.0,44.0,14,4309
153,2795.0,4.0,3.0,235.0,3,4309
154,1125.0,2.0,2.0,50.0,52,5199
155,1020.0,2.0,1.0,30.6,132,5199
156,1200.0,2.0,2.0,50.0,33,5199
157,1735.0,3.0,3.0,135.0,234,4309
158,2050.0,3.0,1.0,145.0,234,4309
159,3750.0,4.0,0.0,760.0,13,826
160,1350.0,2.0,3.0,48.0,2,4309
161,1063.0,2.0,1.0,32.0,72,5199
162,1904.0,3.0,1.0,150.0,7,4309
163,4200.0,4.0,2.0,420.0,540,826
164,2000.0,3.0,1.0,175.0,5,4309
165,1145.0,2.0,0.0,43.49,82,5199
166,1425.0,2.0,2.0,75.0,7,4309
167,1500.0,2.0,1.0,64.5,302,4309
168,1060.0,2.0,1.0,60.0,302,5199
169,1470.0,2.0,2.0,70.0,2,4309
170,1300.0,6.0,0.0,99.0,3,30
171,450.0,1.0,1.0,11.0,42,538
172,1152.0,2.0,1.0,64.5,302,5199
173,1350.0,2.0,1.0,56.0,302,4309
174,1550.0,3.0,3.0,65.0,43,4309
175,1500.0,3.0,2.0,100.0,1,547
176,600.0,3.0,2.0,85.0,30,297
177,400.0,1.0,0.0,14.0,17,121
178,705.0,1.0,2.0,67.0,58,538
179,770.0,1.0,1.0,36.0,302,5199
180,1242.0,2.0,3.0,51.0,52,5199
181,1700.0,3.0,2.0,155.0,34,4309
182,2144.0,3.0,2.0,145.0,234,4309
183,1704.0,3.0,2.0,110.0,42,4309
184,1070.0,2.0,1.0,52.0,302,5199
185,1846.0,3.0,2.0,300.0,7,547
186,1340.0,2.0,2.0,55.7,5,5199
187,1025.0,2.0,1.0,46.0,302,5199
188,1015.0,2.0,0.0,56.8,91,5199
189,1200.0,2.0,2.0,52.0,175,5199
190,2250.0,4.0,1.0,110.0,273,826
191,1550.0,2.0,3.0,80.0,11,4309
192,1200.0,5.0,3.0,325.0,96,826
193,1800.0,7.0,1.0,250.0,9,83
194,1200.0,2.0,2.0,60.0,175,5199
195,1327.0,2.0,2.0,98.0,213,5199
196,1186.0,2.0,2.0,58.0,66,5199
197,1783.0,3.0,1.0,115.0,8,547
198,1400.0,3.0,2.0,56.0,53,4309
199,980.0,2.0,1.0,48.0,12,5199
200,1285.0,2.0,2.0,82.0,23,5199
201,912.0,2.0,1.0,70.0,4,4309
202,1225.0,2.0,2.0,47.6,540,5199
203,1075.0,2.0,1.0,53.0,540,5199
204,1260.0,2.0,2.0,54.0,42,4309
205,1282.0,2.0,2.0,48.7,213,4309
206,1909.0,3.0,2.0,88.0,25,4309
207,1359.0,2.0,1.0,87.0,51,5199
208,1207.0,2.0,2.0,43.5,5,5199
209,1736.0,6.0,0.0,190.0,28,826
210,2850.0,4.0,1.0,428.0,14,591
211,1595.0,3.0,2.0,65.0,29,4309
212,1798.0,3.0,2.0,89.0,5,4309
213,1475.0,3.0,2.0,78.29,88,4309
214,1580.0,3.0,3.0,100.0,4,4309
215,1295.0,2.0,1.0,65.0,17,5199
216,3600.0,6.0,0.0,141.0,25,191
217,589.0,1.0,1.0,27.0,302,538
218,1415.0,3.0,3.0,78.0,4,4309
219,1787.0,3.0,2.0,98.29,399,4309
220,1787.0,3.0,2.0,125.0,399,4309
221,1475.0,2.0,3.0,90.0,72,4309
222,2000.0,4.0,1.0,75.5,1,591
223,984.0,2.0,1.0,44.28,399,5199
224,1520.0,788.0,3.0,74.82,45,4309
225,2405.0,4.0,2.0,260.0,2,4309
226,1080.0,2.0,2.0,72.0,149,5199
227,1500.0,2.0,1.0,115.0,6,329
228,1900.0,3.0,2.0,119.0,177,4309
229,805.0,2.0,1.0,22.14,13,5199
230,1153.0,2.0,2.0,56.4,54,5199
231,1148.0,2.0,2.0,60.0,8,5199
232,1110.0,2.0,2.0,55.0,4,5199
233,1100.0,2.0,2.0,42.0,302,5199
234,1290.0,2.0,2.0,110.0,19,5199
235,1500.0,2.0,1.0,65.0,2,4309
236,1080.0,2.0,2.0,39.0,7,5199
237,1933.0,3.0,1.0,129.0,42,4309
238,3500.0,5.0,2.0,150.0,73,297
239,1060.0,2.0,2.0,60.0,2,5199
240,645.0,1.0,1.0,16.45,100,538
241,2600.0,8.0,2.0,180.0,1,84
242,645.0,1.0,1.0,16.45,100,538
243,1644.0,3.0,3.0,84.0,7,4309
244,1285.0,2.0,3.0,72.5,1,5199
245,1200.0,3.0,1.0,90.0,302,547
246,910.0,2.0,1.0,40.0,302,5199
247,1577.0,3.0,1.0,70.0,66,4309
248,4050.0,3.0,2.0,280.0,6,547
249,2420.0,3.0,2.0,185.0,19,4309
250,800.0,1.0,1.0,20.0,100,5199
251,1060.0,2.0,2.0,55.0,6,5199
252,1270.0,2.0,2.0,93.0,149,5199
253,900.0,2.0,2.0,22.5,6,5199
254,1280.0,2.0,1.0,69.0,7,329
255,1200.0,2.0,0.0,95.0,42,826
256,1025.0,2.0,2.0,36.0,399,5199
257,1108.0,2.0,1.0,63.0,302,5199
258,1200.0,5.0,3.0,170.0,4,297
259,3045.0,3.0,2.0,170.0,3,4309
260,2900.0,3.0,2.0,300.0,31,826
261,1500.0,3.0,2.0,75.5,42,4309
262,1295.0,2.0,2.0,43.9,171,5199
263,1162.0,2.0,1.0,59.9,54,5199
264,1035.0,2.0,2.0,49.2,399,5199
265,1600.0,4.0,0.0,52.8,42,826
266,1464.0,3.0,2.0,46.0,9,4309
267,1866.0,2.0,2.0,61.58,152,4309
268,700.0,1.0,1.0,26.0,2,5199
269,1804.0,3.0,2.0,120.0,33,4309
270,913.0,2.0,1.0,32.0,82,5199
271,1868.0,3.0,2.0,131.0,40,4309
272,883.0,2.0,1.0,45.0,40,5199
273,900.0,2.0,1.0,110.0,1,329
274,1664.0,2.0,3.0,73.95,25,4309
275,2026.0,3.0,2.0,132.0,49,4309
276,1210.0,2.0,1.0,80.9,45,5199
277,4111.0,4.0,2.0,250.0,6,826
278,1762.0,3.0,3.0,91.45,42,4309
279,1252.0,3.0,3.0,55.0,54,4309
280,861.0,2.0,1.0,34.5,13,5199
281,1420.0,2.0,1.0,100.0,149,4309
282,1450.0,6.0,0.0,250.0,6,191
283,1490.0,3.0,1.0,78.8,88,4309
284,1075.0,2.0,1.0,46.0,51,4309
285,1425.0,2.0,2.0,94.0,71,4309
286,1200.0,2.0,1.0,40.0,33,5199
287,1280.0,2.0,2.0,56.0,64,4309
288,1084.0,2.0,2.0,50.0,4,5199
289,1015.0,2.0,2.0,25.88,100,5199
290,1017.0,2.0,1.0,51.25,273,5199
291,1027.0,2.0,2.0,44.0,142,5199
292,1069.0,2.0,2.0,45.0,132,5199
293,1349.0,2.0,1.0,98.2,177,5199
294,1005.0,2.0,1.0,50.0,43,5199
295,1417.0,2.0,3.0,75.0,71,5199
296,1475.0,3.0,1.0,98.0,60,547
297,950.0,2.0,2.0,47.0,7,5199
298,2000.0,4.0,0.0,120.0,7,591
299,880.0,3.0,1.0,140.0,14,547
300,1863.0,3.0,2.0,104.0,399,591
301,1010.0,2.0,1.0,29.5,27,5199
302,1425.0,2.0,1.0,70.0,33,4309
303,1450.0,3.0,0.0,100.0,42,4309
304,1847.0,3.0,2.0,105.0,66,4309
305,1100.0,2.0,3.0,45.0,12,5199
306,525.0,1.0,1.0,26.0,273,538
307,1665.0,3.0,2.0,95.0,16,4309
308,1664.0,4.0,3.0,65.0,16,591
309,1850.0,3.0,3.0,150.0,72,4309
310,1438.0,2.0,3.0,100.0,51,5199
311,1560.0,3.0,3.0,115.0,2,4309
312,1350.0,2.0,1.0,55.55,213,5199
313,1550.0,3.0,3.0,67.0,273,4309
314,1140.0,2.0,2.0,46.5,17,5199
315,1200.0,5.0,2.0,180.0,6,297
316,850.0,2.0,2.0,27.0,4,5199
317,1280.0,2.0,2.0,75.0,540,5199
318,1170.0,2.0,2.0,52.0,24,5199
319,1113.0,2.0,1.0,51.0,6,5199
320,1385.0,2.0,1.0,83.09,152,5199
321,1128.0,2.0,1.0,65.0,302,5199
322,1200.0,2.0,2.0,128.0,175,329
323,1200.0,4.0,3.0,165.0,8,826
324,2390.0,3.0,2.0,415.0,107,4309
325,2400.0,4.0,1.0,400.0,14,826
326,1464.0,3.0,2.0,56.0,142,4309
327,1200.0,2.0,2.0,55.0,8,5199
328,1200.0,2.0,2.0,52.0,22,5199
329,1150.0,2.0,1.0,55.0,19,4309
330,1645.0,3.0,2.0,95.0,4,4309
331,1000.0,2.0,1.0,67.0,399,5199
332,2650.0,4.0,2.0,198.0,142,826
333,1192.0,2.0,2.0,74.0,23,5199
334,2135.0,3.0,2.0,215.0,21,4309
335,1173.0,2.0,1.0,58.0,540,5199
336,1020.0,2.0,2.0,45.0,186,5199
337,3122.0,6.0,2.0,230.0,62,591
338,1600.0,3.0,3.0,64.0,28,4309
339,1200.0,2.0,0.0,79.0,3,329
340,1230.0,2.0,3.0,48.0,2,5199
341,1250.0,2.0,2.0,40.0,14,5199
342,1325.0,2.0,2.0,76.0,33,5199
343,1850.0,3.0,1.0,150.0,149,4309
344,525.0,788.0,3.0,21.53,273,538
345,1200.0,2.0,2.0,65.0,21,5199
346,1350.0,2.0,0.0,140.0,1,547
347,1260.0,3.0,1.0,49.36,37,4309
348,1800.0,3.0,0.0,150.0,3,4309
349,11.0,3.0,2.0,74.0,2,547
350,1100.0,2.0,1.0,43.25,24,5199
351,1508.0,2.0,1.0,77.0,79,5199
352,1592.0,3.0,2.0,75.0,2,4309
353,1388.0,2.0,3.0,57.0,62,5199
354,630.0,1.0,1.0,28.35,132,538
355,2000.0,3.0,2.0,365.0,3,547
356,1762.0,3.0,1.0,125.0,1,4309
357,950.0,2.0,2.0,50.0,4,5199
358,3252.0,5.0,3.0,335.0,15,591
359,1116.0,2.0,1.0,50.0,25,5199
360,1308.0,2.0,2.0,89.04,11,5199
361,1200.0,3.0,0.0,90.0,8,4309
362,1500.0,4.0,2.0,230.0,1,826
363,500.0,1.0,1.0,18.5,152,538
364,1075.0,2.0,1.0,52.0,55,5199
365,530.0,1.0,0.0,11.66,100,538
366,1205.0,2.0,3.0,66.0,96,5199
367,1075.0,2.0,2.0,60.0,39,5199
368,930.0,2.0,2.0,39.0,91,5199
369,1380.0,2.0,1.0,60.0,45,5199
370,2483.0,5.0,2.0,212.0,177,591
371,1166.0,2.0,2.0,55.0,13,5199
372,1050.0,2.0,1.0,65.0,152,5199
373,2023.71,3.0,2.0,275.0,6,4309
374,1200.0,2.0,2.0,46.8,84,5199
375,1600.0,2.0,1.0,108.0,36,4309
376,1935.0,3.0,2.0,110.0,18,4309
377,451.0,1.0,0.0,29.9,57,538
378,1800.0,3.0,2.0,95.0,302,4309
379,1400.0,3.0,0.0,77.0,52,4309
380,1801.0,3.0,2.0,115.0,49,4309
381,1451.0,2.0,3.0,90.0,31,5199
382,1200.0,1.0,1.0,36.0,36,329
383,1160.0,2.0,2.0,44.0,84,5199
384,1000.0,2.0,1.0,25.0,73,5199
385,950.0,2.0,1.0,40.0,273,5199
386,1629.0,3.0,2.0,79.0,7,4309
387,1580.0,2.0,0.0,134.0,42,4309
388,1826.0,3.0,2.0,121.0,42,4309
389,1245.0,2.0,1.0,94.0,149,5199
390,1145.0,2.0,2.0,45.79,171,5199
391,825.0,2.0,1.0,33.0,12,5199
392,1693.0,3.0,3.0,108.0,85,4309
393,1113.27,2.0,2.0,53.0,88,5199
394,1460.0,2.0,1.0,58.0,6,5199
395,1050.0,2.0,1.0,32.0,30,5199
396,1260.0,2.0,2.0,55.0,29,5199
397,700.0,3.0,3.0,120.0,1,30
398,1656.0,2.0,1.0,120.0,47,5199
399,1208.0,3.0,1.0,45.0,100,4309
400,1910.0,3.0,2.0,161.0,540,4309
401,3252.0,4.0,1.0,230.0,540,591
402,1200.0,2.0,1.0,65.0,24,329
403,1200.0,4.0,1.0,175.0,3,591
404,1175.0,2.0,1.0,82.0,149,5199
405,1000.0,2.0,0.0,165.0,9,329
406,1200.0,2.0,0.0,125.0,152,826
407,2390.0,3.0,2.0,410.0,107,4309
408,12000.0,6.0,3.0,2200.0,107,17
409,550.0,1.0,1.0,62.0,14,329
410,34.46,1.0,0.0,18.5,73,538
411,1185.0,2.0,3.0,38.0,3,5199
412,750.0,2.0,1.0,38.0,73,5199
413,1200.0,7.0,3.0,250.0,13,191
414,1550.0,3.0,3.0,64.5,273,4309
415,1760.0,3.0,2.0,88.0,1,4309
416,1125.0,2.0,2.0,62.0,18,5199
417,1350.0,3.0,2.0,150.0,63,547
418,1000.0,2.0,1.0,55.0,27,329
419,1090.0,2.0,2.0,31.48,26,5199
420,1200.0,2.0,0.0,60.0,60,329
421,1991.0,4.0,2.0,103.0,54,4309
422,1060.0,2.0,1.0,26.5,37,5199
423,1105.0,2.0,1.0,75.0,27,5199
424,985.0,2.0,2.0,67.0,88,5199
425,1533.0,5.0,3.0,85.0,100,191
426,1590.0,3.0,2.0,79.0,45,4309
427,1120.0,2.0,2.0,55.0,43,5199
428,1069.0,2.0,1.0,55.0,6,5199
429,1933.0,3.0,2.0,140.0,175,4309
430,1194.0,2.0,0.0,69.0,47,5199
431,1150.0,2.0,3.0,69.0,47,5199
432,1240.0,2.0,2.0,47.12,13,5199
433,1419.0,2.0,2.0,48.1,171,5199
434,1200.0,8.0,3.0,250.0,149,84
435,2150.0,4.0,3.0,240.0,9,4309
436,1450.0,3.0,2.0,55.0,4,4309
437,1630.0,3.0,2.0,68.29,4,4309
438,708.0,1.0,1.0,40.0,16,5199
439,1000.0,4.0,3.0,110.0,80,547
440,11890.0,4.0,3.0,700.0,540,826
441,1250.0,2.0,1.0,76.0,96,5199
442,1400.0,2.0,1.0,95.0,149,4309
443,1670.0,2.0,3.0,57.0,399,4309
444,1750.0,3.0,2.0,100.0,24,4309
445,1404.0,2.0,1.0,71.0,43,5199
446,1715.0,2.0,2.0,95.0,88,4309
447,630.0,1.0,1.0,34.65,302,538
448,1752.12,3.0,2.0,135.0,79,4309
449,1650.0,3.0,2.0,78.0,52,4309
450,1295.0,2.0,1.0,55.47,171,5199
451,1800.0,3.0,2.0,252.0,14,547
452,1346.0,2.0,1.0,74.03,399,5199
453,1200.0,4.0,2.0,200.0,3,826
454,1150.0,2.0,2.0,55.0,74,5199
455,3309.0,4.0,3.0,325.0,1,826
456,1190.0,2.0,2.0,30.35,100,4309
457,1620.0,3.0,2.0,98.0,12,4309
458,950.0,2.0,1.0,46.96,175,5199
459,5000.0,9.0,3.0,360.0,1,2
460,2450.0,3.0,0.0,120.0,79,4309
461,1220.0,2.0,1.0,35.23,132,4309
462,850.0,2.0,1.0,30.0,8,5199
463,1020.0,2.0,2.0,63.0,28,5199
464,1100.0,2.0,2.0,50.0,30,5199
465,1150.0,2.0,2.0,126.0,7,5199
466,1760.0,2.0,2.0,130.0,177,4309
467,1800.0,3.0,3.0,110.0,27,4309
468,1070.0,2.0,1.0,54.0,62,5199
469,1500.0,4.0,2.0,220.0,24,826
470,1440.0,2.0,0.0,95.0,43,329
471,900.0,2.0,1.0,40.0,24,5199
472,1200.0,4.0,1.0,230.0,1,591
473,1130.0,2.0,1.0,42.16,540,5199
474,1320.0,2.0,1.0,165.0,72,5199
475,1270.0,2.0,1.0,98.0,11,5199
476,1200.0,2.0,1.0,62.0,2,5199
477,4800.0,4.0,3.0,235.0,1,591
478,1200.0,2.0,1.0,74.0,4,5199
479,929.0,2.0,0.0,50.17,43,5199
480,1150.0,4.0,2.0,260.0,7,591
481,1125.0,4.0,3.0,180.0,31,826
482,500.0,3.0,2.0,65.0,16,297
483,1200.0,5.0,2.0,190.0,7,297
484,1464.0,3.0,2.0,56.0,9,4309
485,3600.0,4.0,3.0,400.0,149,591
486,2000.0,4.0,2.0,99.0,1,826
487,1208.0,2.0,1.0,49.0,30,5199
488,1130.0,2.0,2.0,60.0,34,5199
489,1753.0,3.0,2.0,120.0,3,4309
490,4500.0,7.0,3.0,337.0,71,59
491,600.0,3.0,2.0,58.0,11,547
492,1196.0,2.0,2.0,94.42,88,5199
493,1150.0,3.0,3.0,52.5,39,5199
494,1128.0,2.0,1.0,63.0,302,5199
495,1000.0,2.0,1.0,53.0,2,5199
496,1035.0,2.0,1.0,45.0,213,5199
497,950.0,2.0,1.0,32.0,16,5199
498,1075.0,2.0,1.0,36.0,51,4309
499,1040.0,2.0,1.0,48.5,540,5199
500,720.0,2.0,1.0,45.0,6,329
501,1511.0,3.0,1.0,95.0,23,4309
502,1300.0,3.0,1.0,58.0,5,4309
503,1545.0,3.0,1.0,68.75,88,4309
504,375.0,2.0,0.0,26.0,13,538
505,1062.0,2.0,3.0,38.0,43,5199
506,1115.0,2.0,1.0,40.0,5,5199
507,1000.0,2.0,1.0,35.0,72,5199
508,883.0,2.0,1.0,45.0,24,5199
509,1195.0,2.0,1.0,70.0,399,5199
510,1200.0,3.0,1.0,165.0,3,826
511,700.0,1.0,0.0,41.0,9,121
512,1246.0,2.0,1.0,67.0,43,5199
513,660.0,4.0,2.0,90.0,57,826
514,8500.0,4.0,2.0,145.0,27,826
515,1600.0,4.0,1.0,80.0,3,591
516,2805.0,5.0,3.0,154.0,142,591
517,1584.0,3.0,3.0,65.0,84,4309
518,3000.0,5.0,1.0,275.0,13,826
519,1175.0,2.0,2.0,48.0,47,4309
520,1595.0,3.0,2.0,115.0,1,4309
521,1353.0,2.0,2.0,110.0,3,5199
522,1599.0,3.0,2.0,125.0,302,4309
523,1150.0,2.0,1.0,70.0,540,5199
524,5230.0,6.0,1.0,465.0,71,591
525,1155.0,2.0,2.0,42.74,91,5199
526,1200.0,2.0,0.0,85.0,8,538
527,1000.0,2.0,1.0,25.0,132,5199
528,3000.0,4.0,3.0,120.0,234,591
529,1867.0,3.0,1.0,160.0,13,4309
530,1251.0,2.0,1.0,47.0,50,5199
531,1028.0,2.0,1.0,45.5,3,5199
532,1222.0,2.0,2.0,45.0,17,5199
533,1170.0,2.0,1.0,66.0,152,4309
534,2400.0,4.0,1.0,245.0,177,4309
535,1385.0,2.0,2.0,48.48,5,4309
536,1372.0,2.0,1.0,68.0,53,5199
537,1282.0,2.0,2.0,49.0,25,4309
538,5000.0,9.0,3.0,210.0,12,8
539,3000.0,3.0,1.0,528.0,5,297
540,1135.0,2.0,1.0,39.73,273,5199
541,1768.0,3.0,2.0,101.0,540,4309
542,1325.0,2.0,1.0,90.0,7,4309
543,1599.0,3.0,2.0,99.0,302,4309
544,1500.0,3.0,1.0,61.95,540,547
545,2610.0,3.0,0.0,499.0,9,547
546,1286.0,2.0,2.0,63.0,186,5199
547,2845.0,5.0,1.0,140.0,17,59
548,1600.0,2.0,3.0,50.0,1,4309
549,1195.0,2.0,0.0,63.77,152,5199
550,3450.0,5.0,2.0,260.0,177,4309
551,1102.0,2.0,2.0,53.67,24,5199
552,1350.0,2.0,2.0,54.0,213,5199
553,1200.0,2.0,2.0,42.0,75,4309
554,1300.0,6.0,0.0,145.0,72,191
555,1800.0,1.0,1.0,80.0,4,329
556,950.0,2.0,1.0,40.0,13,5199
557,525.0,1.0,1.0,27.25,273,538
558,656.0,2.0,1.0,25.0,42,5199
559,1780.0,4.0,3.0,175.0,175,826
560,1056.0,2.0,1.0,80.0,7,5199
561,595.0,1.0,1.0,33.32,152,538
562,1080.0,2.0,2.0,50.0,8,5199
563,2225.0,3.0,1.0,160.0,149,4309
564,1126.0,2.0,1.0,28.15,37,5199
565,1490.0,3.0,1.0,84.0,88,4309
566,2000.0,4.0,1.0,300.0,19,826
567,1550.0,3.0,3.0,100.0,399,4309
568,1160.0,2.0,1.0,55.0,3,5199
569,4144.0,4.0,3.0,315.0,540,826
570,2100.0,3.0,2.0,125.0,399,4309
571,1404.0,2.0,1.0,69.3,43,5199
572,2230.0,4.0,3.0,225.0,399,826
573,1544.0,3.0,3.0,120.0,1,4309
574,1305.0,2.0,1.0,58.7,27,4309
575,1230.0,2.0,2.0,80.0,175,5199
576,1200.0,2.0,0.0,65.0,3,329
577,1460.0,3.0,1.0,73.0,79,4309
578,1200.0,788.0,3.0,34.185,399,121
579,967.0,2.0,3.0,45.0,48,5199
580,540.0,1.0,1.0,36.0,7,121
581,715.0,1.0,2.0,46.0,74,538
582,2500.0,3.0,2.0,313.0,540,4309
583,1578.0,3.0,1.0,180.0,4,4309
584,1020.0,2.0,1.0,48.95,50,5199
585,1020.0,2.0,1.0,40.0,54,5199
586,1253.0,2.0,1.0,102.0,72,5199
587,1180.0,2.0,2.0,42.0,4,5199
588,961.0,2.0,2.0,38.0,11,5199
589,1419.0,3.0,3.0,75.0,42,4309
590,1709.0,3.0,2.0,150.0,79,4309
