,location,size,total_sqft,bath,balcony,price
53,Lakshminarayana Pura,2 BHK,1185.0,2.0,2.0,75.0
54,Yelahanka,3 BHK,1600.0,2.0,3.0,75.0
55,Begur Road,2 BHK,1200.0,2.0,2.0,44.0
56,Devanahalli,4 Bedroom,3010.0,788.0,3.0,192.0
57,Ramakrishnappa Layout,2 BHK,1500.0,2.0,2.0,185.0
58,Murugeshpalya,6 Bedroom,1407.0,4.0,1.0,150.0
59,Govindaraja Nagar Ward,2 BHK,840.0,2.0,2.0,45.0
60,Tharabanahalli,3 Bedroom,4395.0,3.0,2.0,240.0
61,Ganga Nagar,2 BHK,845.0,2.0,1.0,55.0
62,Whitefield,4 Bedroom,5700.0,5.0,3.0,650.0
63,Varthur,2 BHK,1160.0,2.0,2.0,44.0
64,Bommanahalli,8 Bedroom,3000.0,8.0,0.0,140.0
65,Doddathoguru,2 BHK,1100.0,2.0,1.0,62.0
66,Gunjur,2 BHK,1140.0,2.0,3.0,43.0
67,Marathahalli,2 BHK,1220.0,2.0,1.0,57.0
68,Devarachikkanahalli,8 Bedroom,1350.0,7.0,0.0,85.0
69,Kanakpura Road,2 BHK,1005.0,2.0,1.0,36.68
70,Double Road,3 Bedroom,500.0,3.0,2.0,100.0
71,Begur Road,2 BHK,1358.0,2.0,1.0,80.58
72,Hegde Nagar,3 BHK,1569.0,3.0,1.0,101.0
73,Haralur Road,2 BHK,1240.0,2.0,1.0,70.0
74,Hennur Road,3 BHK,2089.0,3.0,2.0,140.0
75,Kothannur,2 BHK,1206.0,2.0,1.0,48.23
76,Kalena Agrahara,2 BHK,1150.0,2.0,3.0,40.0
77,Cholanayakanahalli,3 BHK,2511.0,3.0,3.0,205.0
78,Kaval Byrasandra,2 BHK,460.0,1.0,0.0,22.0
79,ISRO Layout,6 Bedroom,4400.0,6.0,3.0,250.0
80,Kodanda Reddy Layout,3 BHK,1660.0,2.0,2.0,105.0
81,Hennur Road,4 Bedroom,2957.0,788.0,3.0,224.5
82,Yelahanka,2 BHK,1326.0,2.0,2.0,78.0
83,Garudachar Palya,3 BHK,1325.0,2.0,2.0,60.8
84,EPIP Zone,3 BHK,1499.0,5.0,2.0,102.0
85,Hegde Nagar,6 Bedroom,3000.0,7.0,2.0,210.0
86,Kanakpura Road,3 BHK,1665.0,3.0,2.0,88.0
87,Dasanapura,2 BHK,708.0,2.0,2.0,37.0
88,Kasavanhalli,2 BHK,1060.0,2.0,2.0,58.06
89,Rajaji Nagar,6 Bedroom,710.0,6.0,3.0,160.0
90,Sanjay nagar,2 BHK,1000.0,2.0,2.0,70.0
91,Electronic City,2 BHK,1000.0,2.0,1.0,28.88
92, Mysore Highway,3 BHK,1450.0,2.0,2.0,70.0
93,ISRO Layout,4 Bedroom,1200.0,4.0,2.0,155.0
94,Thanisandra,2 BHK,1296.0,2.0,3.0,80.0
95,Domlur,3 BHK,1540.0,3.0,2.0,90.0
96,Kengeri,4 Bedroom,2894.0,4.0,1.0,245.0
97,Sarjapura - Attibele Road,3 BHK,1330.0,2.0,1.0,48.0
98,Devasthanagalu,2 BHK,1200.0,2.0,1.0,65.0
99,T Dasarahalli,3 Bedroom,1200.0,3.0,1.0,90.0
100,Yeshwanthpur,3 BHK,2502.0,3.0,3.0,138.0
101,Chandapura,2 BHK,650.0,1.0,1.0,17.0
102,Kothanur,3 Bedroom,2400.0,2.0,1.0,150.0
103,Green View Layout,2 BHK,1007.0,2.0,2.0,43.0
104,Shantiniketan Layout,2 BHK,1200.0,2.0,2.0,50.0
105,Peenya,2 BHK,966.0,2.0,2.0,49.9
106,Nagarbhavi,3 BHK,1630.0,2.0,1.0,98.0
107,Rajaji Nagar,3 BHK,1640.0,3.0,2.0,229.0
108,Jalahalli West,2 BHK,782.0,2.0,2.0,55.68
109,Devanahalli,2 BHK,1260.0,2.0,2.0,66.78
110,Lakshmiamma Garden,3 BHK,1800.0,3.0,3.0,120.0
111,Byatarayanapura,3 BHK,1413.0,2.0,2.0,75.0
112,Whitefield,2 BHK,1116.0,2.0,1.0,51.91
113,Electronic City,3 BHK,1530.0,2.0,1.0,45.9
114,Ramamurthy Nagar,4 Bedroom,3700.0,4.0,1.0,225.0
115,Sarjapur  Road,3 Bedroom,2497.0,3.0,2.0,140.0
116,Kengeri,3 BHK,1540.0,2.0,3.0,64.0
117,Thanisandra,3 BHK,1436.0,3.0,1.0,74.75
118,Malleshwaram,2 BHK,1100.0,2.0,2.0,75.0
119,Hennur Road,2 Bedroom,276.0,3.0,3.0,23.0
120,Thanisandra,3 BHK,1427.0,3.0,2.0,120.0
121,Akshaya Nagar,3 BHK,2061.0,3.0,1.0,200.0
122,Hebbal,4 BHK,3067.0,4.0,0.0,477.0
123,Shampura,4 BHK,2650.0,4.0,2.0,150.0
124,Devanahalli,3 BHK,1282.0,2.0,2.0,68.52
125,Kadugodi,2 BHK,1050.0,2.0,1.0,34.0
126,LB Shastri Nagar,3 BHK,1600.0,3.0,2.0,65.0
127,Vajarahalli,2 BHK,945.0,2.0,1.0,54.0
128,Hormavu,2 BHK,1500.0,2.0,1.0,78.0
129,Vishwapriya Layout,7 Bedroom,950.0,7.0,0.0,115.0
130,Peenya,3 BHK,1870.0,3.0,3.0,110.0
131,Sarjapur,3 Bedroom,1600.0,3.0,1.0,75.0
132,Electronic City,2 BHK,880.0,1.0,1.0,16.5
133,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200.0,4.0,0.0,210.0
134,Kudlu Gate,3 BHK,1535.0,3.0,2.0,83.0
135,Kanakpura Road,2 BHK,950.0,2.0,1.0,57.0
136,Devanahalli,2 BHK,1360.0,2.0,1.0,65.0
137,8th Phase JP Nagar,2 BHK,1042.0,2.0,0.0,54.005
138,Bommasandra Industrial Area,3 BHK,1280.0,3.0,1.0,50.4
139,Chandra Layout,3 BHK,1260.0,2.0,2.0,85.05
140,Hennur Road,8 Bedroom,5000.0,8.0,3.0,250.0
141,Yelahanka,5 BHK,3050.0,5.0,1.0,213.0
142,Kasavanhalli,3 BHK,1563.05,3.0,1.0,105.0
143,ISRO Layout,2 BHK,1000.0,2.0,1.0,60.0
144,Anandapura,2 BHK,1167.0,2.0,1.0,43.76
145,Vishveshwarya Layout,7 BHK,4000.0,7.0,2.0,225.0
146,Kothanur,3 BHK,1828.0,3.0,3.0,110.0
147,Kengeri Satellite Town,2 BHK,890.0,2.0,1.0,35.0
148,Basavanapura,3 BHK,1612.0,3.0,3.0,46.74
149,Dinnur,6 Bedroom,1034.0,5.0,3.0,185.0
150,Mysore Road,3 BHK,1710.0,4.0,2.0,91.31
151,Kannamangala,2 BHK,957.0,2.0,1.0,58.0
152, Devarachikkanahalli,3 BHK,1250.0,2.0,3.0,44.0
153,Sanjeevini Nagar,3 BHK,2795.0,4.0,3.0,235.0
154,Hulimavu,2 BHK,1125.0,2.0,2.0,50.0
155,Electronic City Phase II,2 BHK,1020.0,2.0,1.0,30.6
156,Kalena Agrahara,2 BHK,1200.0,2.0,2.0,50.0
157,Thanisandra,3 BHK,1735.0,3.0,3.0,135.0
158,Thanisandra,3 BHK,2050.0,3.0,1.0,145.0
159,Mahalakshmi Layout,4 Bedroom,3750.0,4.0,0.0,760.0
160,Yarandahalli,3 BHK,1350.0,2.0,3.0,48.0
161,Hosa Road,2 BHK,1063.0,2.0,1.0,32.0
162,Keshava Nagar,3 BHK,1904.0,3.0,1.0,150.0
163,Whitefield,4 Bedroom,4200.0,4.0,2.0,420.0
164,RMV Extension,3 BHK,2000.0,3.0,1.0,175.0
165,Sarjapur,2 BHK,1145.0,2.0,0.0,43.49
166,Tejaswini Nagar,3 BHK,1425.0,2.0,2.0,75.0
167,Electronic City,3 BHK,1500.0,2.0,1.0,64.5
168,Electronic City,2 BHK,1060.0,2.0,1.0,60.0
169,Jai Bheema Nagar,3 BHK,1470.0,2.0,2.0,70.0
170,Kothnur Narayanapura,6 BHK,1300.0,6.0,0.0,99.0
171,Attibele,1 BHK,450.0,1.0,1.0,11.0
172,Electronic City,2 BHK,1152.0,2.0,1.0,64.5
173,Electronic City,3 BHK,1350.0,2.0,1.0,56.0
174,CV Raman Nagar,3 BHK,1550.0,3.0,3.0,65.0
175,CHIKKATIRUPATHI,3 Bedroom,1500.0,3.0,2.0,100.0
176,Kumaraswami Layout,5 Bedroom,600.0,3.0,2.0,85.0
177,Nagavara,1 Bedroom,400.0,1.0,0.0,14.0
178,Malleshwaram,1 BHK,705.0,1.0,2.0,67.0
179,Electronic City,2 BHK,770.0,1.0,1.0,36.0
180,Hulimavu,2 BHK,1242.0,2.0,3.0,51.0
181,Hebbal Kempapura,3 BHK,1700.0,3.0,2.0,155.0
182,Thanisandra,3 BHK,2144.0,3.0,2.0,145.0
183,Vijayanagar,3 BHK,1704.0,3.0,2.0,110.0
184,Electronic City,2 BHK,1070.0,2.0,1.0,52.0
185,8th block Koramangala,3 Bedroom,1846.0,3.0,2.0,300.0
186,Jakkuru Layout,2 BHK,1340.0,2.0,2.0,55.7
187,Electronic City,2 BHK,1025.0,2.0,1.0,46.0
188,KR Puram,2 BHK,1015.0,2.0,0.0,56.8
189,Marathahalli,2 BHK,1200.0,2.0,2.0,52.0
190,Kanakpura Road,4 Bedroom,2250.0,4.0,1.0,110.0
191,Pattandur Agrahara,3 BHK,1550.0,2.0,3.0,80.0
192,Bellandur,4 Bedroom,1200.0,5.0,3.0,325.0
193,Ejipura,7 Bedroom,1800.0,7.0,1.0,250.0
194,Marathahalli,2 BHK,1200.0,2.0,2.0,60.0
195,Yelahanka,2 BHK,1327.0,2.0,2.0,98.0
196,Kothanur,2 BHK,1186.0,2.0,2.0,58.0
197,MS Pallya,3 Bedroom,1783.0,3.0,1.0,115.0
198,HSR Layout,3 BHK,1400.0,3.0,2.0,56.0
199,Nagasandra,2 BHK,980.0,2.0,1.0,48.0
200,EPIP Zone,2 BHK,1285.0,2.0,2.0,82.0
201,Langford Town,3 BHK,912.0,2.0,1.0,70.0
202,Whitefield,2 BHK,1225.0,2.0,2.0,47.6
203,Whitefield,2 BHK,1075.0,2.0,1.0,53.0
204,Kadugodi,3 BHK,1260.0,2.0,2.0,54.0
205,Yelahanka,3 BHK,1282.0,2.0,2.0,48.7
206,Kogilu,3 BHK,1909.0,3.0,2.0,88.0
207,Panathur,2 BHK,1359.0,2.0,1.0,87.0
208,Nagondanahalli,2 BHK,1207.0,2.0,2.0,43.5
209,Padmanabhanagar,4 Bedroom,1736.0,6.0,0.0,190.0
210,1st Block Jayanagar,4 BHK,2850.0,4.0,1.0,428.0
211,Kammasandra,3 BHK,1595.0,3.0,2.0,65.0
212,"Off Sarjapur Road, ",3 BHK,1798.0,3.0,2.0,89.0
213,Electronics City Phase 1,3 BHK,1475.0,3.0,2.0,78.29
214,Tala Cauvery Layout,3 BHK,1580.0,3.0,3.0,100.0
215,Dasarahalli,2 BHK,1295.0,2.0,1.0,65.0
216,Magadi Road,6 Bedroom,3600.0,6.0,0.0,141.0
217,Electronic City,1 BHK,589.0,1.0,1.0,27.0
218,Ngef Layout,3 BHK,1415.0,3.0,3.0,78.0
219,Sarjapur  Road,3 BHK,1787.0,3.0,2.0,98.29
220,Sarjapur  Road,3 BHK,1787.0,3.0,2.0,125.0
221,Koramangala,3 BHK,1475.0,2.0,3.0,90.0
222,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000.0,4.0,1.0,75.5
223,Sarjapur  Road,2 BHK,984.0,2.0,1.0,44.28
224,Devanahalli,3 BHK,1520.0,788.0,3.0,74.82
225,Muthurayya Swamy Layout,3 BHK,2405.0,4.0,2.0,260.0
226,7th Phase JP Nagar,2 BHK,1080.0,2.0,2.0,72.0
227,Shantiniketan Layout,2 Bedroom,1500.0,2.0,1.0,115.0
228,Hebbal,3 BHK,1900.0,3.0,2.0,119.0
229,Dommasandra,2 BHK,805.0,2.0,1.0,22.14
230,Budigere,2 BHK,1153.0,2.0,2.0,56.4
231,Dodda Nekkundi Extension,2 BHK,1148.0,2.0,2.0,60.0
232,Mylasandra,2 BHK,1110.0,2.0,2.0,55.0
233,Electronic City,2 BHK,1100.0,2.0,2.0,42.0
234,Kalyan nagar,2 BHK,1290.0,2.0,2.0,110.0
235,Dr Shivarama Karantha Nagar,3 BHK,1500.0,2.0,1.0,65.0
236,Bank Of Baroda Colony,2 BHK,1080.0,2.0,2.0,39.0
237,Vijayanagar,3 BHK,1933.0,3.0,1.0,129.0
238,Ramamurthy Nagar,5 Bedroom,3500.0,5.0,2.0,150.0
239,Kullappa Colony,2 BHK,1060.0,2.0,2.0,60.0
240,Chandapura,1 BHK,645.0,1.0,1.0,16.45
241,Mukkutam Nagar,8 Bedroom,2600.0,8.0,2.0,180.0
242,Chandapura,1 BHK,645.0,1.0,1.0,16.45
243,Ashwath Nagar,3 BHK,1644.0,3.0,3.0,84.0
244,Ncpr Industrial Layout,2 BHK,1285.0,2.0,3.0,72.5
245,Electronic City,3 Bedroom,1200.0,3.0,1.0,90.0
246,Electronic City,2 BHK,910.0,2.0,1.0,40.0
247,Kothanur,3 BHK,1577.0,3.0,1.0,70.0
248,Meenakunte,3 Bedroom,4050.0,3.0,2.0,280.0
249,OMBR Layout,3 BHK,2420.0,3.0,2.0,185.0
250,Chandapura,2 BHK,800.0,1.0,1.0,20.0
251,Anand Nagar,2 BHK,1060.0,2.0,2.0,55.0
252,7th Phase JP Nagar,2 BHK,1270.0,2.0,2.0,93.0
253,Shree Ananth Nagar Layout,2 BHK,900.0,2.0,2.0,22.5
254,Kundalahalli Colony,2 Bedroom,1280.0,2.0,1.0,69.0
255,Horamavu Agara,4 Bedroom,1200.0,2.0,0.0,95.0
256,Sarjapur  Road,2 BHK,1025.0,2.0,2.0,36.0
257,Electronic City,2 BHK,1108.0,2.0,1.0,63.0
258,MCECHS  layout,5 Bedroom,1200.0,5.0,3.0,170.0
259,Coffee Board Layout,3 BHK,3045.0,3.0,2.0,170.0
260,Ambedkar Nagar,4 Bedroom,2900.0,3.0,2.0,300.0
261,Vijayanagar,3 BHK,1500.0,3.0,2.0,75.5
262,Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,2.0,43.9
263,Budigere,2 BHK,1162.0,2.0,1.0,59.9
264,Sarjapur  Road,2 BHK,1035.0,2.0,2.0,49.2
265,Attibele,4 Bedroom,1600.0,4.0,0.0,52.8
266,KUDLU MAIN ROAD,3 BHK,1464.0,3.0,2.0,46.0
267,Hennur Road,3 BHK,1866.0,2.0,2.0,61.58
268,Geleyara Balaga Layout,2 BHK,700.0,1.0,1.0,26.0
269,Kalena Agrahara,3 BHK,1804.0,3.0,2.0,120.0
270,Sarjapur,2 BHK,913.0,2.0,1.0,32.0
271,Talaghattapura,3 BHK,1868.0,3.0,2.0,131.0
272,Kengeri Satellite Town,2 BHK,883.0,2.0,1.0,45.0
273,Sundara Nagar,2 Bedroom,900.0,2.0,1.0,110.0
274,Kogilu,3 BHK,1664.0,2.0,3.0,73.95
275,Hegde Nagar,3 BHK,2026.0,3.0,2.0,132.0
276,Balagere,2 BHK,1210.0,2.0,1.0,80.9
277,Meenakunte,4 Bedroom,4111.0,4.0,2.0,250.0
278,Kadugodi,3 BHK,1762.0,3.0,3.0,91.45
279,Jigani,3 BHK,1252.0,3.0,3.0,55.0
280,Gollarapalya Hosahalli,2 BHK,861.0,2.0,1.0,34.5
281,7th Phase JP Nagar,3 BHK,1420.0,2.0,1.0,100.0
282,Srirampura,6 Bedroom,1450.0,6.0,0.0,250.0
283,Electronics City Phase 1,3 BHK,1490.0,3.0,1.0,78.8
284,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,46.0
285,Old Madras Road,3 BHK,1425.0,2.0,2.0,94.0
286,Kalena Agrahara,2 BHK,1200.0,2.0,1.0,40.0
287,Kaggadasapura,3 BHK,1280.0,2.0,2.0,56.0
288,Silver Springs Layout,2 BHK,1084.0,2.0,2.0,50.0
289,Chandapura,2 BHK,1015.0,2.0,2.0,25.88
290,Kanakpura Road,2 BHK,1017.0,2.0,1.0,51.25
291,Haralur Road,2 BHK,1027.0,2.0,2.0,44.0
292,Electronic City Phase II,2 BHK,1069.0,2.0,2.0,45.0
293,Hebbal,2 BHK,1349.0,2.0,1.0,98.2
294,9th Phase JP Nagar,2 BHK,1005.0,2.0,1.0,50.0
295,Jakkur,2 BHK,1417.0,2.0,3.0,75.0
296,TC Palaya,3 Bedroom,1475.0,3.0,1.0,98.0
297,Maruthi Sevanagar,2 BHK,950.0,2.0,2.0,47.0
298,RMV 2nd Stage,4 BHK,2000.0,4.0,0.0,120.0
299,Giri Nagar,3 Bedroom,880.0,3.0,1.0,140.0
300,Sarjapur  Road,4 BHK,1863.0,3.0,2.0,104.0
301,Singasandra,2 BHK,1010.0,2.0,1.0,29.5
302,Kalena Agrahara,3 BHK,1425.0,2.0,1.0,70.0
303,Vijayanagar,3 BHK,1450.0,3.0,0.0,100.0
304,Kothanur,3 BHK,1847.0,3.0,2.0,105.0
305,AECS Layout,2 BHK,1100.0,2.0,3.0,45.0
306,Kanakpura Road,1 BHK,525.0,1.0,1.0,26.0
307,Mallasandra,3 BHK,1665.0,3.0,2.0,95.0
308,Begur,4 BHK,1664.0,4.0,3.0,65.0
309,JP Nagar,3 BHK,1850.0,3.0,3.0,150.0
310,Panathur,2 BHK,1438.0,2.0,3.0,100.0
311,Sunder Ram Shetty Nagar,3 BHK,1560.0,3.0,3.0,115.0
312,Yelahanka,2 BHK,1350.0,2.0,1.0,55.55
313,Kanakpura Road,3 BHK,1550.0,3.0,3.0,67.0
314,Malleshpalya,2 BHK,1140.0,2.0,2.0,46.5
315,Srirampura,5 Bedroom,1200.0,5.0,2.0,180.0
316,Kodathi,2 BHK,850.0,2.0,2.0,27.0
317,Whitefield,2 BHK,1280.0,2.0,2.0,75.0
318,Munnekollal,2 BHK,1170.0,2.0,2.0,52.0
319,Motappa Layout,2 BHK,1113.0,2.0,1.0,51.0
320,Hennur Road,2 BHK,1385.0,2.0,1.0,83.09
321,Electronic City,2 BHK,1128.0,2.0,1.0,65.0
322,Marathahalli,2 Bedroom,1200.0,2.0,2.0,128.0
323,Akshaya Vana,4 Bedroom,1200.0,4.0,3.0,165.0
324,Rajaji Nagar,3 BHK,2390.0,3.0,2.0,415.0
325,Giri Nagar,4 Bedroom,2400.0,4.0,1.0,400.0
326,Haralur Road,3 BHK,1464.0,3.0,2.0,56.0
327,Manayata Tech Park,2 BHK,1200.0,2.0,2.0,55.0
328,Kaval Byrasandra,2 BHK,1200.0,2.0,2.0,52.0
329,Kaggalipura,3 BHK,1150.0,2.0,1.0,55.0
330,Basavanna Nagar,3 BHK,1645.0,3.0,2.0,95.0
331,Sarjapur  Road,2 BHK,1000.0,2.0,1.0,67.0
332,Haralur Road,4 Bedroom,2650.0,4.0,2.0,198.0
333,6th Phase JP Nagar,2 BHK,1192.0,2.0,2.0,74.0
334,Ulsoor,3 BHK,2135.0,3.0,2.0,215.0
335,Whitefield,2 BHK,1173.0,2.0,1.0,58.0
336,Uttarahalli,2 BHK,1020.0,2.0,2.0,45.0
337,Thigalarapalya,4 BHK,3122.0,6.0,2.0,230.0
338,Somasundara Palya,3 BHK,1600.0,3.0,3.0,64.0
339,T.C PALYA,2 Bedroom,1200.0,2.0,0.0,79.0
340,Muneshwara Nagar,2 BHK,1230.0,2.0,3.0,48.0
341, Devarachikkanahalli,2 BHK,1250.0,2.0,2.0,40.0
342,Kalena Agrahara,2 BHK,1325.0,2.0,2.0,76.0
343,7th Phase JP Nagar,3 BHK,1850.0,3.0,1.0,150.0
344,Kanakpura Road,1 BHK,525.0,788.0,3.0,21.53
345,Basaveshwara Nagar,2 BHK,1200.0,2.0,2.0,65.0
346,Bull Temple Road,3 Bedroom,1350.0,2.0,0.0,140.0
347,Bommasandra,3 BHK,1260.0,3.0,1.0,49.36
348,Prashanth Nagar,3 BHK,1800.0,3.0,0.0,150.0
349,Suragajakkanahalli,3 Bedroom,11.0,3.0,2.0,74.0
350,Ardendale,2 BHK,1100.0,2.0,1.0,43.25
351,Harlur,2 BHK,1508.0,2.0,1.0,77.0
352,Sampigehalli,3 BHK,1592.0,3.0,2.0,75.0
353,Akshaya Nagar,2 BHK,1388.0,2.0,3.0,57.0
354,Electronic City Phase II,1 BHK,630.0,1.0,1.0,28.35
355,RMV,3 Bedroom,2000.0,3.0,2.0,365.0
356,Banashankari3rd stage bigbazar,3 BHK,1762.0,3.0,1.0,125.0
357,Bagalur Main Road,2 BHK,950.0,2.0,2.0,50.0
358,Kodihalli,4 BHK,3252.0,5.0,3.0,335.0
359,Magadi Road,2 BHK,1116.0,2.0,1.0,50.0
360,Narayanapura,2 BHK,1308.0,2.0,2.0,89.04
361,MS Pallya,3 BHK,1200.0,3.0,0.0,90.0
362,Binny Mills Employees Colony,4 Bedroom,1500.0,4.0,2.0,230.0
363,Bannerghatta Road,1 BHK,500.0,1.0,1.0,18.5
364,Hennur,2 BHK,1075.0,2.0,1.0,52.0
365,Chandapura,1 BHK,530.0,1.0,0.0,11.66
366,Bellandur,2 BHK,1205.0,2.0,3.0,66.0
367,5th Phase JP Nagar,2 BHK,1075.0,2.0,2.0,60.0
368,KR Puram,2 BHK,930.0,2.0,2.0,39.0
369,Balagere,2 BHK,1380.0,2.0,1.0,60.0
370,Hebbal,4 BHK,2483.0,5.0,2.0,212.0
371,Kodigehaali,2 BHK,1166.0,2.0,2.0,55.0
372,Bannerghatta Road,2 BHK,1050.0,2.0,1.0,65.0
373,Gopalapura,3 BHK,2023.71,3.0,2.0,275.0
374,Begur Road,2 BHK,1200.0,2.0,2.0,46.8
375,Lakshminarayana Pura,3 BHK,1600.0,2.0,1.0,108.0
376,Billekahalli,3 BHK,1935.0,3.0,2.0,110.0
377,8th Phase JP Nagar,1 BHK,451.0,1.0,0.0,29.9
378,Electronic City,3 BHK,1800.0,3.0,2.0,95.0
379,Jalahalli,3 BHK,1400.0,3.0,0.0,77.0
380,Hegde Nagar,3 BHK,1801.0,3.0,2.0,115.0
381,Mahadevpura,2 BHK,1451.0,2.0,3.0,90.0
382,Anekal,2 Bedroom,1200.0,1.0,1.0,36.0
383,Begur Road,2 BHK,1160.0,2.0,2.0,44.0
384,Kengeri,2 BHK,1000.0,2.0,1.0,25.0
385,Kanakpura Road,2 BHK,950.0,2.0,1.0,40.0
386,"Hoodi Circle, ",3 BHK,1629.0,3.0,2.0,79.0
387,Vijayanagar,3 BHK,1580.0,2.0,0.0,134.0
388,Vijayanagar,3 BHK,1826.0,3.0,2.0,121.0
389,7th Phase JP Nagar,2 BHK,1245.0,2.0,1.0,94.0
390,Raja Rajeshwari Nagar,2 BHK,1145.0,2.0,2.0,45.79
391,Sompura,2 BHK,825.0,2.0,1.0,33.0
392,Yeshwanthpur,3 BHK,1693.0,3.0,3.0,108.0
393,Electronics City Phase 1,2 BHK,1113.27,2.0,2.0,53.0
394,Ashirvad Colony,2 BHK,1460.0,2.0,1.0,58.0
395,Doddathoguru,2 BHK,1050.0,2.0,1.0,32.0
396,Dodda Nekkundi,2 BHK,1260.0,2.0,2.0,55.0
397,K N Extension,6 BHK,700.0,3.0,3.0,120.0
398,Hosur Road,2 BHK,1656.0,2.0,1.0,120.0
399,Chandapura,3 BHK,1208.0,3.0,1.0,45.0
400,Whitefield,3 BHK,1910.0,3.0,2.0,161.0
401,Whitefield,4 BHK,3252.0,4.0,1.0,230.0
402,Battarahalli,2 Bedroom,1200.0,2.0,1.0,65.0
403,Gokula Extension,4 BHK,1200.0,4.0,1.0,175.0
404,7th Phase JP Nagar,2 BHK,1175.0,2.0,1.0,82.0
405,Kamakshipalya,2 Bedroom,1000.0,2.0,0.0,165.0
406,Bannerghatta Road,4 Bedroom,1200.0,2.0,0.0,125.0
407,Rajaji Nagar,3 BHK,2390.0,3.0,2.0,410.0
408,Rajaji Nagar,7 BHK,12000.0,6.0,3.0,2200.0
409,Sultan Palaya,2 Bedroom,550.0,1.0,1.0,62.0
410,Kengeri,1 BHK,34.46,1.0,0.0,18.5
411,Sanne Amanikere,2 BHK,1185.0,2.0,3.0,38.0
412,Kengeri,2 BHK,750.0,2.0,1.0,38.0
413,Mahalakshmi Layout,6 Bedroom,1200.0,7.0,3.0,250.0
